venue_name,zone,date,time,team_1,team_2,latitude,longitude,TYPE_PDV
CHEZ JEAN,THIAROYE,23/12/2025,15 H,SENEGAL,BOTSWANA,14.7517342,-17.381228,
BAR BONGRE,TIVAOUNE PEUL,26/12/2025,15 H,AFRIQUE DU SUD,EGYPTE,14.7880784,-17.2884962,
BAR CHEZ HENRI,SEBIKOTANE,27/12/2025,15 H,SENEGAL,RD CONGO,14.75083,-17.4558011,
BAR CHEZ PREIRA,KEUR MBAYE FALL,28/12/2025,20 H,COTE D'IVOIRE,CAMEROUN,14.7498845,-17.3440214,
BAR KAMIEUM,THIAROYE,30/12/2025,19 H,SENEGAL,BENIN,14.7642474,-17.3732367,
BAR ALLIANCE,KEUR MBAYE FALL,03/01/2026,16 H,HUITIEME DE FINALE,,14.7407892,-17.3234235,
BAR CHEZ TANTI,THIAROYE,09/01/2026,16 H,QUART DE FINALE,,14.7669105,-17.3801388,
BAR BLEUKEUSSS,DIAMEGEUNE,14/01/2026,16 H,DEMI FINALE,,14.7652458,-17.4457674,
CHEZ JEAN,THIAROYE,17/01/2026,16 H,TROISIEME PLACE,,14.7517342,-17.381228,
BAR CHEZ PREIRA,KEUR MBAYE FALL,18/01/2026,16 H,FINALE,,14.7498845,-17.3440214,
BAR FOUGON 2,MALIKA,23/12/2025,15 H,SENEGAL,BOTSWANA,14.7922816,-17.3289989,
BAR JOE BASS,KEUR MASSAR,26/12/2025,15 H,AFRIQUE DU SUD,EGYPTE,14.7778322,-17.33062,
BAR CHEZ MILI,MALIKA,27/12/2025,15 H,SENEGAL,RD CONGO,14.7508245,-17.4557677,
BAR TERANGA,KEUR MASSAR,28/12/2025,20 H,COTE D'IVOIRE,CAMEROUN,14.7508636,-17.3102724,
BAR BAKASAO,MALIKA,30/12/2025,19 H,SENEGAL,BENIN,14.7508286,-17.4557744,
BAR KAWARAFAN,KEUR MASSAR,03/01/2026,16 H,HUITIEME DE FINALE,,14.7644153,-17.3052866,
BAR CHEZ ALICE,KEUR MASSAR,09/01/2026,16 H,QUART DE FINALE,,14.7612882,-17.2841361,
BAR TITANIUM,KOUNOUNE,14/01/2026,16 H,DEMI FINALE,,14.7562447,-17.2612446,
BAR CONCENSUS,KEUR MASSAR,17/01/2026,16 H,TROISIEME PLACE,,14.7738608,-17.3208291,
BAR FOUGON 2,MALIKA,18/01/2026,16 H,FINALE,,14.7922816,-17.3289989,
BAR POPEGUINE,KEUR MASSAR,23/12/2025,15 H,SENEGAL,BOTSWANA,14.7722491,-17.3154377,
BAR YAKAR,KEURMASSAR,26/12/2025,15 H,AFRIQUE DU SUD,EGYPTE,14.771011,-17.3150093,
BAR BAZILE,GUEDIAWAYE,27/12/2025,15 H,SENEGAL,RD CONGO,14.7813471,-17.3755211,
BAR POPEGUINE,KEURMASSAR,28/12/2025,20 H,COTE D'IVOIRE,CAMEROUN,14.772204,-17.315406,
BAR CHEZ PASCAL,GUEDIAWAYE,30/12/2025,19 H,SENEGAL,BENIN,14.785374,-17.378309,
BAR KAPOL,GUEDIAWAYE,03/01/2026,16 H,HUITIEME DE FINALE,,14.776948,-17.377118,
CHEZ MARCEL,GUEDIAWAYE,09/01/2026,16 H,QUART DE FINALE,,14.76825,-17.3895,
BAR ELTON,GUEDIAWAYE,14/01/2026,16 H,DEMI FINALE,,14.785426,-17.3783207,
BAR BOUELO,GUEDIAWAYE,17/01/2026,16 H,TROISIEME PLACE,,14.6761585,-17.4477634,
